iter	Passed	Remaining
0	11	11309
1	25	12826
2	39	13108
3	54	13512
4	68	13630
5	83	13790
6	94	13435
7	108	13427
8	119	13188
9	135	13385
10	152	13672
11	166	13743
12	180	13711
13	192	13529
14	207	13634
15	222	13659
16	236	13664
17	249	13618
18	264	13681
19	278	13636
20	291	13574
21	305	13576
22	319	13566
23	333	13556
24	347	13546
25	356	13359
26	370	13339
27	384	13332
28	398	13327
29	412	13343
30	427	13363
31	440	13324
32	454	13324
33	468	13304
34	482	13305
35	497	13321
36	512	13328
37	526	13319
38	537	13241
39	551	13231
40	566	13245
41	581	13252
42	594	13242
43	610	13255
44	625	13264
45	641	13305
46	654	13273
47	667	13238
48	678	13172
49	694	13187
50	708	13188
51	723	13190
52	734	13128
53	745	13063
54	758	13028
55	772	13024
56	785	12994
57	798	12976
58	813	12968
59	827	12956
60	840	12935
61	856	12964
62	871	12967
63	886	12968
64	897	12913
65	912	12909
66	925	12882
67	939	12872
68	953	12864
69	968	12864
70	981	12847
71	993	12803
72	1008	12810
73	1023	12801
74	1037	12795
75	1050	12776
76	1064	12761
77	1077	12740
78	1092	12732
79	1105	12717
80	1119	12696
81	1126	12614
82	1138	12580
83	1153	12577
84	1168	12580
85	1183	12580
86	1197	12561
87	1207	12517
88	1221	12504
89	1234	12486
90	1247	12464
91	1261	12453
92	1278	12466
93	1295	12485
94	1310	12482
95	1321	12443
96	1335	12430
97	1349	12423
98	1364	12417
99	1378	12410
100	1386	12344
101	1401	12334
102	1414	12316
103	1428	12308
104	1443	12300
105	1457	12288
106	1468	12259
107	1477	12201
108	1491	12191
109	1506	12189
110	1521	12185
111	1533	12162
112	1548	12151
113	1562	12139
114	1575	12124
115	1583	12065
116	1596	12048
117	1610	12034
118	1626	12045
119	1642	12044
120	1656	12036
121	1670	12022
122	1682	11996
123	1695	11977
124	1710	11972
125	1725	11967
126	1740	11967
127	1754	11953
128	1770	11952
129	1783	11939
130	1795	11910
131	1810	11905
132	1824	11894
133	1838	11882
134	1852	11867
135	1865	11851
136	1876	11822
137	1891	11814
138	1905	11801
139	1919	11789
140	1935	11788
141	1945	11753
142	1957	11729
143	1970	11712
144	1985	11709
145	2000	11701
146	2015	11694
147	2029	11681
148	2040	11655
149	2055	11645
150	2068	11628
151	2082	11617
152	2097	11609
153	2111	11599
154	2125	11587
155	2138	11568
156	2152	11560
157	2169	11559
158	2181	11541
159	2196	11531
160	2210	11520
161	2224	11508
162	2236	11486
163	2249	11467
164	2263	11455
165	2280	11457
166	2296	11457
167	2312	11450
168	2326	11438
169	2339	11420
170	2351	11399
171	2365	11389
172	2380	11377
173	2392	11356
174	2406	11344
175	2422	11339
176	2434	11319
177	2447	11303
178	2456	11268
179	2471	11257
180	2484	11239
181	2496	11218
182	2509	11204
183	2523	11192
184	2537	11180
185	2550	11162
186	2563	11145
187	2572	11109
188	2591	11118
189	2605	11105
190	2618	11092
191	2628	11063
192	2642	11050
193	2657	11039
194	2670	11025
195	2686	11020
196	2701	11012
197	2715	11000
198	2726	10975
199	2739	10958
200	2755	10953
201	2769	10939
202	2784	10931
203	2800	10928
204	2816	10920
205	2827	10898
206	2839	10878
207	2854	10869
208	2869	10860
209	2883	10849
210	2897	10836
211	2910	10817
212	2922	10797
213	2935	10782
214	2949	10770
215	2964	10758
216	2977	10744
217	2988	10720
218	2999	10696
219	3015	10690
220	3030	10683
221	3045	10671
222	3058	10658
223	3070	10636
224	3079	10607
225	3094	10598
226	3108	10584
227	3119	10563
228	3133	10548
229	3147	10536
230	3159	10517
231	3173	10506
232	3186	10490
233	3198	10470
234	3212	10457
235	3228	10449
236	3243	10441
237	3257	10430
238	3272	10420
239	3287	10410
240	3307	10416
241	3326	10419
242	3343	10416
243	3357	10402
244	3371	10391
245	3379	10359
246	3393	10345
247	3407	10332
248	3421	10320
249	3434	10303
250	3449	10292
251	3461	10274
252	3474	10258
253	3488	10244
254	3502	10232
255	3518	10226
256	3533	10215
257	3546	10200
258	3558	10180
259	3572	10167
260	3587	10157
261	3601	10144
262	3616	10133
263	3629	10117
264	3640	10098
265	3657	10092
266	3673	10086
267	3686	10069
268	3702	10061
269	3716	10048
270	3730	10036
271	3744	10022
272	3756	10002
273	3770	9990
274	3783	9974
275	3797	9960
276	3810	9947
277	3823	9929
278	3835	9911
279	3848	9896
280	3862	9884
281	3879	9876
282	3894	9865
283	3904	9843
284	3918	9830
285	3931	9815
286	3945	9803
287	3960	9790
288	3974	9778
289	3989	9768
290	4002	9751
291	4016	9738
292	4029	9723
293	4042	9707
294	4056	9695
295	4071	9683
296	4083	9666
297	4099	9657
298	4113	9644
299	4127	9630
300	4141	9618
301	4157	9608
302	4170	9594
303	4183	9577
304	4198	9567
305	4212	9554
306	4227	9542
307	4240	9527
308	4254	9515
309	4266	9497
310	4278	9478
311	4294	9468
312	4308	9456
313	4322	9444
314	4337	9432
315	4352	9421
316	4366	9408
317	4378	9390
318	4391	9375
319	4405	9361
320	4419	9348
321	4434	9336
322	4447	9322
323	4459	9304
324	4474	9292
325	4487	9277
326	4502	9266
327	4517	9254
328	4531	9242
329	4544	9225
330	4556	9210
331	4570	9196
332	4584	9183
333	4599	9170
334	4611	9155
335	4624	9138
336	4636	9121
337	4650	9108
338	4664	9094
339	4678	9081
340	4693	9070
341	4710	9062
342	4722	9044
343	4734	9028
344	4748	9014
345	4761	9000
346	4777	8990
347	4791	8977
348	4802	8959
349	4816	8945
350	4830	8931
351	4843	8917
352	4857	8902
353	4870	8888
354	4882	8871
355	4895	8856
356	4910	8843
357	4927	8835
358	4942	8825
359	4956	8812
360	4969	8796
361	4981	8779
362	4994	8765
363	5009	8752
364	5023	8738
365	5036	8724
366	5048	8707
367	5061	8692
368	5075	8678
369	5089	8666
370	5102	8651
371	5118	8640
372	5136	8633
